playerId,position,season,team,league,gamesPlayed,goals,assists,points,pim,plusMinus,avgToi,faceoffPct,gameWinningGoals,otGoals,powerPlayGoals,powerPlayPoints,shGoals,shPoints,shots
8478047,L,2025-2026,Nashville Predators,NHL,61,13,18,31,16,-17,888,0.321429,1,0,5,9,0,0,108
8478047,L,2025-2026,Dallas Stars,NHL,12,1,1,2,4,-8,769,0.5,0,0,1,1,0,0,13
8480840,C,2025-2026,Dallas Stars,NHL,71,5,7,12,10,10,740,0.441176,1,0,0,0,1,1,41
8475168,C,2025-2026,Dallas Stars,NHL,56,16,29,45,8,-1,990,0.520875,4,0,5,14,0,0,89
8477454,L,2025-2026,Dallas Stars,NHL,44,6,2,8,19,1,596,0.2,0,0,0,0,0,0,41
8476889,C,2025-2026,Dallas Stars,NHL,57,2,15,17,16,2,703,0.538642,0,0,0,0,1,3,35
8478449,C,2025-2026,Dallas Stars,NHL,53,15,29,44,18,16,1040,0.591472,1,1,6,19,0,0,126
8484829,C,2025-2026,Dallas Stars,NHL,80,13,15,28,43,0,795,0.54878,1,0,2,4,0,0,81
8484938,R,2025-2026,Dallas Stars,NHL,20,3,2,5,2,1,707,0.578947,0,0,0,0,1,1,24
8482740,C,2025-2026,Dallas Stars,NHL,81,45,41,86,32,-4,1209,0.476813,4,1,27,42,0,0,206
8478420,R,2025-2026,Dallas Stars,NHL,63,22,55,77,93,2,1212,0.45122,1,0,6,34,0,0,138
8480027,L,2025-2026,Dallas Stars,NHL,81,45,51,96,32,23,1217,0.333333,9,1,15,41,0,0,293
8475794,C,2025-2026,Dallas Stars,NHL,27,7,10,17,2,10,1000,0.53617,2,0,1,4,0,0,31
8479351,C,2025-2026,Dallas Stars,NHL,72,12,21,33,24,4,964,0.507937,5,0,1,3,0,0,82
8483425,D,2025-2026,Dallas Stars,NHL,49,4,4,8,37,6,934,0.0,2,0,0,0,0,0,26
8478476,D,2025-2026,Dallas Stars,NHL,33,2,3,5,8,1,728,0.0,0,0,0,0,0,0,18
8481581,D,2025-2026,Dallas Stars,NHL,69,6,30,36,26,4,1384,0.0,4,2,1,7,0,0,109
8480036,D,2025-2026,Dallas Stars,NHL,77,9,54,63,30,9,1528,0.0,3,1,2,28,1,1,148
8476902,D,2025-2026,Dallas Stars,NHL,81,5,25,30,20,30,1395,0.0,1,0,0,1,0,2,80
8480878,D,2025-2026,Dallas Stars,NHL,51,3,8,11,16,12,984,0.0,0,0,0,0,0,0,46
8480950,D,2025-2026,Dallas Stars,NHL,52,1,7,8,38,1,945,0.0,0,0,0,0,0,0,32
8474574,D,2025-2026,Vancouver Canucks,NHL,57,1,7,8,40,-25,1213,0.0,0,0,0,0,0,0,71
8474574,D,2025-2026,Dallas Stars,NHL,15,0,3,3,12,2,1004,0.0,0,0,0,0,0,0,14
8475755,D,2025-2026,Dallas Stars,NHL,54,2,8,10,47,2,921,0.0,0,0,0,0,0,0,57
8484145,L,2025-2026,Buffalo Sabres,NHL,64,12,29,41,42,25,945,0.466667,4,0,1,5,0,1,113
8475842,C,2025-2026,New York Rangers,NHL,60,4,6,10,53,-2,625,0.539043,0,0,0,0,0,1,56
8475842,C,2025-2026,Buffalo Sabres,NHL,13,5,1,6,12,4,645,0.573427,1,0,0,0,0,0,19
8479941,R,2025-2026,Buffalo Sabres,NHL,4,0,0,0,2,-2,702,0.548387,0,0,0,0,0,0,2
8482659,R,2025-2026,Buffalo Sabres,NHL,81,25,27,52,25,-5,952,0.222222,4,0,9,17,0,0,169
8482623,C,2025-2026,Buffalo Sabres,NHL,33,1,3,4,38,-6,564,0.531532,0,0,0,0,0,0,28
8478413,L,2025-2026,Buffalo Sabres,NHL,39,1,5,6,27,-10,741,0.242424,0,0,0,0,0,0,32
